subject,body,theme
Payment issue on last order,Could you clarify the extra charges on my bill?,Billing
Modify account details,I’d like to modify my account preferences.,Account Changes
Modify account details,How can I switch to a different account plan?,Account Changes
Payment issue on last order,Please refund the duplicate charge on my card.,Billing
Ask for company brochure,I’m interested in exploring partnership opportunities.,General Inquiry
Request refund for duplicate charge,I need a billing statement for the past 6 months.,Billing
Need more product details,Can I request a product demo this week?,General Inquiry
App keeps crashing,I’m getting a server error when accessing my dashboard.,Technical Support
Questions about partnership,Can you tell me about the premium plans you offer?,General Inquiry
Modify account details,Please update my email to newemail@example.com.,Account Changes
Clarification on charges,There’s an issue with the payment I made yesterday.,Billing
App keeps crashing,I can’t log into my account even after resetting the password.,Technical Support
Payment issue on last order,Could you clarify the extra charges on my bill?,Billing
Password reset not working,I’m getting a server error when accessing my dashboard.,Technical Support
App keeps crashing,The password reset link is not working.,Technical Support
Questions about partnership,I’m interested in exploring partnership opportunities.,General Inquiry
Payment issue on last order,Please refund the duplicate charge on my card.,Billing
System performance slow,I’m getting a server error when accessing my dashboard.,Technical Support
Clarification on charges,Could you clarify the extra charges on my bill?,Billing
Modify account details,Please update my email to newemail@example.com.,Account Changes
Interested in premium plans,Can you tell me about the premium plans you offer?,General Inquiry
Ask for company brochure,Do you have a brochure or catalog I can review?,General Inquiry
Need more product details,Can I request a product demo this week?,General Inquiry
Payment issue on last order,"I didn’t receive my last invoice, can you send it again?",Billing
Request to close account,I want to change my phone number on file.,Account Changes
Need more product details,Do you have a brochure or catalog I can review?,General Inquiry
Invoice not received,I need a billing statement for the past 6 months.,Billing
Need more product details,Do you have a brochure or catalog I can review?,General Inquiry
Ask for company brochure,Can you tell me about the premium plans you offer?,General Inquiry
System performance slow,The system is unusually slow today.,Technical Support
Ask for company brochure,I’m interested in exploring partnership opportunities.,General Inquiry
Update my email address,I’d like to modify my account preferences.,Account Changes
Requesting a demo,Do you have a brochure or catalog I can review?,General Inquiry
Ask for company brochure,Can you tell me about the premium plans you offer?,General Inquiry
Need billing statement,There’s an issue with the payment I made yesterday.,Billing
System performance slow,The system is unusually slow today.,Technical Support
App keeps crashing,I’m getting a server error when accessing my dashboard.,Technical Support
